下料批次号,零件号,面料号,零件外轮廓线坐标
L0005,s000001,M0005,"[[19875.0, -26.0], [27506.0, -26.0], [27506.0, 617.0], [19875.0, 617.0], [19875.0, -26.0]]"
L0005,s000002,M0005,"[[62744.0, 16000.0], [62746.0, 15365.0], [70134.0, 15374.0], [70137.0, 15999.0], [62744.0, 16000.0]]"
L0005,s000003,M0005,"[[5856.0, 9725.0], [6078.0, 9507.0], [6490.0, 9523.0], [6498.0, 9919.0], [6077.0, 9941.0], [5856.0, 9725.0]]"
L0005,s000004,M0005,"[[130505.0, 8054.0], [130843.0, 8119.0], [130852.0, 8151.0], [130872.0, 8125.0], [131028.0, 8155.0], [131037.0, 8187.0], [131057.0, 8161.0], [131919.0, 8326.0], [132830.0, 8491.0], [132839.0, 8522.0], [132859.0, 8496.0], [133329.0, 8577.0], [133821.0, 8648.0], [134312.0, 8715.0], [134558.0, 8747.0], [134789.0, 8773.0], [134801.0, 8804.0], [134819.0, 8776.0], [135136.0, 8803.0], [135467.0, 8822.0], [135480.0, 8852.0], [135496.0, 8823.0], [135741.0, 8830.0], [135999.0, 8832.0], [136273.0, 8829.0], [136546.0, 8822.0], [137132.0, 8797.0], [137148.0, 8826.0], [137162.0, 8796.0], [137504.0, 8780.0], [137995.0, 8750.0], [138012.0, 8778.0], [138024.0, 8748.0], [138409.0, 8725.0], [138391.0, 8778.0], [138117.0, 9567.0], [138083.0, 9575.0], [138111.0, 9596.0], [138080.0, 10008.0], [137965.0, 10008.0], [137774.0, 10009.0], [137582.0, 10010.0], [137391.0, 10010.0], [137264.0, 10010.0], [137200.0, 10011.0], [137008.0, 10011.0], [136817.0, 10011.0], [136625.0, 10010.0], [136549.0, 10009.0], [136472.0, 10008.0], [136447.0, 10008.0], [136396.0, 10007.0], [136319.0, 10006.0], [136242.0, 10005.0], [136166.0, 10003.0], [136089.0, 10002.0], [136044.0, 10001.0], [136013.0, 10000.0], [135936.0, 9998.0], [135860.0, 9996.0], [135783.0, 9993.0], [135707.0, 9990.0], [135642.0, 9988.0], [135630.0, 9987.0], [135554.0, 9984.0], [135477.0, 9980.0], [135401.0, 9976.0], [135342.0, 9973.0], [135324.0, 9972.0], [135248.0, 9968.0], [135171.0, 9963.0], [135095.0, 9957.0], [135042.0, 9953.0], [135019.0, 9951.0], [134942.0, 9944.0], [134866.0, 9937.0], [134752.0, 9926.0], [134644.0, 9914.0], [134637.0, 9913.0], [134523.0, 9901.0], [134447.0, 9892.0], [134371.0, 9884.0], [134295.0, 9875.0], [134246.0, 9869.0], [134219.0, 9866.0], [134029.0, 9842.0], [133877.0, 9823.0], [133879.0, 9786.0], [133879.0, 9786.0], [133786.0, 9775.0], [133693.0, 9764.0], [133599.0, 9753.0], [133521.0, 9743.0], [133506.0, 9740.0], [133469.0, 9735.0], [133413.0, 9727.0], [133320.0, 9714.0], [133227.0, 9699.0], [133217.0, 9698.0], [133134.0, 9684.0], [133097.0, 9678.0], [133060.0, 9672.0], [133023.0, 9665.0], [132992.0, 9659.0], [132986.0, 9658.0], [132930.0, 9647.0], [132875.0, 9636.0], [132820.0, 9625.0], [132787.0, 9618.0], [132764.0, 9613.0], [132673.0, 9593.0], [132583.0, 9573.0], [132581.0, 9572.0], [132489.0, 9551.0], [132453.0, 9542.0], [132417.0, 9534.0], [132416.0, 9533.0], [132379.0, 9524.0], [132325.0, 9510.0], [132252.0, 9491.0], [131913.0, 9392.0], [131913.0, 9392.0], [131865.0, 9377.0], [131817.0, 9361.0], [131769.0, 9346.0], [131722.0, 9330.0], [131674.0, 9315.0], [131626.0, 9299.0], [131578.0, 9283.0], [131577.0, 9283.0], [131531.0, 9267.0], [131483.0, 9250.0], [131436.0, 9233.0], [131389.0, 9216.0], [131352.0, 9202.0], [131342.0, 9197.0], [131295.0, 9179.0], [131249.0, 9159.0], [131242.0, 9156.0], [131203.0, 9139.0], [131157.0, 9119.0], [131133.0, 9108.0], [131111.0, 9098.0], [131065.0, 9077.0], [131020.0, 9056.0], [131012.0, 9052.0], [131002.0, 9047.0], [130984.0, 9038.0], [130966.0, 9029.0], [130948.0, 9019.0], [130930.0, 9010.0], [130912.0, 9000.0], [130895.0, 8990.0], [130894.0, 8990.0], [130877.0, 8981.0], [130860.0, 8970.0], [130843.0, 8960.0], [130826.0, 8949.0], [130809.0, 8939.0], [130792.0, 8928.0], [130781.0, 8921.0], [130775.0, 8917.0], [130758.0, 8905.0], [130742.0, 8894.0], [130727.0, 8882.0], [130726.0, 8882.0], [130710.0, 8870.0], [130694.0, 8857.0], [130678.0, 8844.0], [130675.0, 8842.0], [130663.0, 8831.0], [130648.0, 8818.0], [130634.0, 8803.0], [130621.0, 8790.0], [130620.0, 8789.0], [130606.0, 8774.0], [130593.0, 8759.0], [130581.0, 8743.0], [130573.0, 8733.0], [130569.0, 8727.0], [130557.0, 8711.0], [130546.0, 8694.0], [130535.0, 8677.0], [130532.0, 8671.0], [130525.0, 8659.0], [130520.0, 8650.0], [130516.0, 8642.0], [130514.0, 8639.0], [130511.0, 8632.0], [130507.0, 8623.0], [130499.0, 8605.0], [130480.0, 8532.0], [130477.0, 8514.0], [130472.0, 8483.0], [130471.0, 8470.0], [130470.0, 8458.0], [130470.0, 8458.0], [130468.0, 8439.0], [130467.0, 8420.0], [130467.0, 8402.0], [130467.0, 8382.0], [130467.0, 8370.0], [130467.0, 8339.0], [130468.0, 8327.0], [130468.0, 8314.0], [130469.0, 8306.0], [130469.0, 8302.0], [130470.0, 8289.0], [130471.0, 8270.0], [130473.0, 8252.0], [130476.0, 8236.0], [130476.0, 8233.0], [130481.0, 8202.0], [130486.0, 8171.0], [130487.0, 8166.0], [130491.0, 8141.0], [130496.0, 8110.0], [130501.0, 8079.0], [130505.0, 8054.0]]"
L0005,s000005,M0005,"[[7704.0, 11283.0], [7838.0, 11096.0], [7878.0, 11081.0], [7838.0, 11066.0], [7704.0, 10879.0], [8004.0, 10669.0], [8642.0, 10891.0], [8618.0, 11035.0], [8612.0, 11066.0], [8580.0, 11081.0], [8612.0, 11096.0], [8618.0, 11127.0], [8642.0, 11271.0], [8004.0, 11493.0], [7704.0, 11283.0]]"
L0005,s000006,M0005,"[[58997.0, 8629.0], [60758.0, 8629.0], [60758.0, 9448.0], [58997.0, 9448.0], [58997.0, 8629.0]]"
L0005,s000007,M0005,"[[114888.0, 3459.0], [115236.0, 3513.0], [115246.0, 3544.0], [115265.0, 3518.0], [116256.0, 3691.0], [116759.0, 3777.0], [117249.0, 3856.0], [117259.0, 3888.0], [117277.0, 3860.0], [117688.0, 3913.0], [118114.0, 3962.0], [118270.0, 3964.0], [118425.0, 3959.0], [118439.0, 3958.0], [118463.0, 3955.0], [118473.0, 3953.0], [118482.0, 3952.0], [118489.0, 3951.0], [118492.0, 3950.0], [118506.0, 3947.0], [118520.0, 3943.0], [118534.0, 3939.0], [118548.0, 3935.0], [118550.0, 3934.0], [118562.0, 3930.0], [118571.0, 3926.0], [118580.0, 3923.0], [118589.0, 3919.0], [118598.0, 3916.0], [118606.0, 3912.0], [118614.0, 3908.0], [118615.0, 3908.0], [118637.0, 3897.0], [118658.0, 3886.0], [118676.0, 3877.0], [118733.0, 3841.0], [118775.0, 3807.0], [118807.0, 3819.0], [118796.0, 3787.0], [118815.0, 3766.0], [118830.0, 3747.0], [118840.0, 3734.0], [118842.0, 3731.0], [118849.0, 3721.0], [118863.0, 3701.0], [118876.0, 3680.0], [118889.0, 3660.0], [118889.0, 3659.0], [118901.0, 3639.0], [118909.0, 3625.0], [118917.0, 3610.0], [118924.0, 3596.0], [118931.0, 3583.0], [118935.0, 3574.0], [118946.0, 3553.0], [118956.0, 3531.0], [118968.0, 3504.0], [118973.0, 3494.0], [118989.0, 3457.0], [119004.0, 3420.0], [119008.0, 3410.0], [119020.0, 3382.0], [119034.0, 3344.0], [119045.0, 3315.0], [119048.0, 3307.0], [119061.0, 3268.0], [119075.0, 3230.0], [119087.0, 3192.0], [119100.0, 3153.0], [119110.0, 3123.0], [119188.0, 2875.0], [119235.0, 2727.0], [120147.0, 2657.0], [120100.0, 2987.0], [120082.0, 3153.0], [120072.0, 3304.0], [120041.0, 3318.0], [120070.0, 3334.0], [120070.0, 3380.0], [120075.0, 3441.0], [120076.0, 3450.0], [120078.0, 3473.0], [120081.0, 3495.0], [120082.0, 3502.0], [120085.0, 3518.0], [120089.0, 3540.0], [120091.0, 3549.0], [120093.0, 3558.0], [120094.0, 3562.0], [120096.0, 3567.0], [120098.0, 3576.0], [120102.0, 3589.0], [120106.0, 3602.0], [120107.0, 3606.0], [120109.0, 3610.0], [120112.0, 3619.0], [120115.0, 3627.0], [120119.0, 3636.0], [120122.0, 3644.0], [120125.0, 3649.0], [120128.0, 3657.0], [120134.0, 3669.0], [120140.0, 3681.0], [120145.0, 3690.0], [120151.0, 3701.0], [120156.0, 3709.0], [120160.0, 3717.0], [120165.0, 3724.0], [120169.0, 3730.0], [120170.0, 3732.0], [120175.0, 3739.0], [120184.0, 3750.0], [120192.0, 3761.0], [120192.0, 3761.0], [120201.0, 3771.0], [120207.0, 3778.0], [120214.0, 3784.0], [120219.0, 3790.0], [120220.0, 3791.0], [120230.0, 3800.0], [120240.0, 3810.0], [120248.0, 3817.0], [120250.0, 3819.0], [120257.0, 3824.0], [120264.0, 3830.0], [120272.0, 3836.0], [120279.0, 3841.0], [120279.0, 3841.0], [120290.0, 3848.0], [120302.0, 3855.0], [120322.0, 3867.0], [120325.0, 3868.0], [120342.0, 3877.0], [120362.0, 3887.0], [120372.0, 3892.0], [120383.0, 3897.0], [120404.0, 3905.0], [120422.0, 3912.0], [120425.0, 3914.0], [120447.0, 3921.0], [120468.0, 3928.0], [120472.0, 3929.0], [120490.0, 3935.0], [120512.0, 3940.0], [120534.0, 3946.0], [120557.0, 3950.0], [120557.0, 3950.0], [120579.0, 3954.0], [120602.0, 3958.0], [120624.0, 3962.0], [120642.0, 3964.0], [120737.0, 3978.0], [120819.0, 3985.0], [120832.0, 4016.0], [120848.0, 3987.0], [121058.0, 3991.0], [121282.0, 3989.0], [121593.0, 3972.0], [121610.0, 4001.0], [121622.0, 3970.0], [121948.0, 3938.0], [122288.0, 3899.0], [122967.0, 3817.0], [123089.0, 4388.0], [122609.0, 4407.0], [122340.0, 5114.0], [122272.0, 5445.0], [120701.0, 5445.0], [120372.0, 5434.0], [120044.0, 5421.0], [119493.0, 5377.0], [119025.0, 5323.0], [118707.0, 5282.0], [118680.0, 5249.0], [118064.0, 5190.0], [117723.0, 5152.0], [117382.0, 5111.0], [117339.0, 5105.0], [117285.0, 5097.0], [117230.0, 5090.0], [117176.0, 5082.0], [117122.0, 5075.0], [117068.0, 5067.0], [117042.0, 5063.0], [117014.0, 5059.0], [116960.0, 5050.0], [116905.0, 5042.0], [116851.0, 5033.0], [116797.0, 5024.0], [116743.0, 5015.0], [116702.0, 5008.0], [116689.0, 5006.0], [116636.0, 4996.0], [116582.0, 4987.0], [116528.0, 4977.0], [116474.0, 4967.0], [116420.0, 4956.0], [116396.0, 4951.0], [116367.0, 4945.0], [116313.0, 4934.0], [116260.0, 4923.0], [116244.0, 4919.0], [116206.0, 4911.0], [116153.0, 4899.0], [116100.0, 4886.0], [116092.0, 4884.0], [116078.0, 4880.0], [116047.0, 4872.0], [115994.0, 4857.0], [115941.0, 4842.0], [115889.0, 4826.0], [115872.0, 4821.0], [115837.0, 4810.0], [115784.0, 4793.0], [115732.0, 4776.0], [115680.0, 4759.0], [115654.0, 4749.0], [115629.0, 4741.0], [115577.0, 4723.0], [115557.0, 4715.0], [115552.0, 4713.0], [115536.0, 4707.0], [115516.0, 4700.0], [115485.0, 4687.0], [115455.0, 4675.0], [115451.0, 4673.0], [115435.0, 4666.0], [115414.0, 4658.0], [115394.0, 4649.0], [115375.0, 4640.0], [115355.0, 4630.0], [115343.0, 4624.0], [115335.0, 4621.0], [115316.0, 4611.0], [115296.0, 4601.0], [115277.0, 4590.0], [115258.0, 4579.0], [115239.0, 4569.0], [115239.0, 4568.0], [115220.0, 4557.0], [115201.0, 4546.0], [115184.0, 4534.0], [115183.0, 4534.0], [115165.0, 4522.0], [115138.0, 4503.0], [115131.0, 4497.0], [115112.0, 4483.0], [115094.0, 4469.0], [115080.0, 4458.0], [115077.0, 4456.0], [115061.0, 4441.0], [115045.0, 4427.0], [115037.0, 4419.0], [115032.0, 4414.0], [115029.0, 4411.0], [115021.0, 4403.0], [115014.0, 4395.0], [115000.0, 4379.0], [114999.0, 4377.0], [114986.0, 4362.0], [114979.0, 4353.0], [114973.0, 4344.0], [114968.0, 4338.0], [114960.0, 4326.0], [114948.0, 4308.0], [114936.0, 4290.0], [114924.0, 4271.0], [114915.0, 4254.0], [114914.0, 4252.0], [114903.0, 4233.0], [114893.0, 4213.0], [114884.0, 4193.0], [114879.0, 4182.0], [114875.0, 4173.0], [114871.0, 4163.0], [114868.0, 4153.0], [114865.0, 4144.0], [114864.0, 4142.0], [114861.0, 4132.0], [114857.0, 4122.0], [114855.0, 4111.0], [114853.0, 4106.0], [114852.0, 4100.0], [114850.0, 4090.0], [114848.0, 4079.0], [114846.0, 4068.0], [114843.0, 4046.0], [114843.0, 4046.0], [114840.0, 4025.0], [114838.0, 4003.0], [114837.0, 3986.0], [114836.0, 3970.0], [114835.0, 3948.0], [114835.0, 3926.0], [114835.0, 3926.0], [114835.0, 3904.0], [114835.0, 3882.0], [114836.0, 3865.0], [114836.0, 3861.0], [114837.0, 3839.0], [114840.0, 3806.0], [114843.0, 3773.0], [114845.0, 3763.0], [114850.0, 3719.0], [114857.0, 3665.0], [114857.0, 3661.0], [114864.0, 3610.0], [114872.0, 3556.0], [114881.0, 3502.0], [114888.0, 3459.0]]"
L0005,s000008,M0005,"[[75443.0, -26.0], [77409.0, -26.0], [77409.0, 662.0], [75443.0, 662.0], [75443.0, -26.0]]"
L0005,s000009,M0005,"[[18860.0, 3763.0], [18828.0, 4161.0], [18798.0, 4173.0], [18826.0, 4191.0], [18825.0, 4195.0], [18768.0, 4889.0], [16494.0, 4481.0], [16536.0, 3977.0], [16638.0, 3975.0], [16649.0, 3703.0], [16929.0, 3685.0], [16945.0, 3713.0], [16959.0, 3684.0], [17221.0, 3684.0], [17538.0, 3687.0], [17856.0, 3693.0], [17879.0, 3694.0], [17993.0, 3699.0], [18107.0, 3705.0], [18126.0, 3706.0], [18153.0, 3707.0], [18221.0, 3711.0], [18290.0, 3716.0], [18358.0, 3720.0], [18396.0, 3723.0], [18427.0, 3726.0], [18541.0, 3735.0], [18655.0, 3745.0], [18769.0, 3755.0], [18860.0, 3763.0]]"
L0005,s000010,M0005,"[[110060.0, 11738.0], [111799.0, 11739.0], [111800.0, 12424.0], [110064.0, 12427.0], [110060.0, 11738.0]]"
